ID,Tanggal,Jenis,Nama Transaksi,Akun,Akun Tujuan (Transfer),Anggota,Kategori,Jumlah (IDR),Catatan
96,2026-01-28 09:58:28,Pengeluaran,Cemal Cemil,UANG CASH,,basedata.myself,Cemal Cemil,19000,cemilan anugerah
97,2026-01-28 09:58:50,Pemasukan,Mingguan Ortu,BRI,,basedata.myself,Mingguan Ortu,200000,
98,2026-01-28 09:59:29,Pengeluaran,Foodstuffs,UANG CASH,,basedata.myself,Foodstuffs ,2000,es batu
99,2026-01-29 10:05:08,Pengeluaran,Nongkrongs,UANG CASH,,basedata.myself,Nongkrongs ,18000,tengah hari coffee
100,2026-01-29 10:05:08,Pengeluaran,"Ojol, Parkir",UANG CASH,,basedata.myself,"Ojol, Parkir",2000,
101,2026-01-29 10:05:08,Pengeluaran,House needs,UANG CASH,,basedata.myself,House needs ,11000,laundry
102,2026-01-29 12:21:16,Pengeluaran,Cemal Cemil,UANG CASH,,basedata.myself,Cemal Cemil,8000,pentol
103,2026-01-30 15:01:30,Pengeluaran,Food,UANG CASH,,basedata.myself,Food,40000,paijo
111,2026-01-30 16:00:00,Pengeluaran,Food,UANG CASH,,basedata.myself,Food,17000,ayam geprek midodari
113,2026-01-30 16:00:00,Pemasukan,basedata.bonus,BRI,,basedata.myself,basedata.bonus,100000,
104,2026-01-31 14:47:30,Transfer,UANG CASH,BRI,UANG CASH,,,200000,
105,2026-01-31 14:47:30,Pengeluaran,Foodstuffs,UANG CASH,,basedata.myself,Foodstuffs ,29000,"telur, beras"
106,2026-01-31 14:47:30,Pengeluaran,Bensin,UANG CASH,,basedata.myself,Bensin,50000,
107,2026-01-31 14:47:30,Pengeluaran,basedata.tax,UANG CASH,,basedata.myself,basedata.tax,50000,utang yopi
108,2026-01-31 14:47:30,Pengeluaran,Food,UANG CASH,,basedata.myself,Food,46000,bebek sinjay
109,2026-01-31 14:47:30,Pengeluaran,"Ojol, Parkir",UANG CASH,,basedata.myself,"Ojol, Parkir",2000,
110,2026-01-31 15:18:57,Pemasukan,Mingguan Ortu,BRI,,basedata.myself,Mingguan Ortu,150000,
117,2026-01-31 16:00:00,Pengeluaran,Food,UANG CASH,,basedata.myself,Food,100000,angkringan lc
118,2026-01-31 16:00:00,Pengeluaran,"Ojol, Parkir",UANG CASH,,basedata.myself,"Ojol, Parkir",3000,
112,2026-02-01 08:07:47,Pemasukan,Mingguan Ortu,BRI,,basedata.myself,Mingguan Ortu,200000,
114,2026-02-01 09:43:05,Transfer,UANG CASH,BRI,UANG CASH,,,100000,
115,2026-02-01 09:43:05,Pengeluaran,House needs,UANG CASH,,basedata.myself,House needs ,20000,gas portable
116,2026-02-01 09:43:05,Pengeluaran,Food,UANG CASH,,basedata.myself,Food,15000,ayam geprek midodari
119,2026-02-02 10:14:54,Pemasukan,basedata.bonus,BRI,,basedata.myself,basedata.bonus,50000,piutang
120,2026-02-02 10:14:54,Transfer,UANG CASH,BRI,UANG CASH,,,100000,
121,2026-02-02 10:14:54,Pengeluaran,Nongkrongs,UANG CASH,,basedata.myself,Nongkrongs ,30000,kubiek coffee
122,2026-02-02 10:14:54,Pengeluaran,Cemal Cemil,UANG CASH,,basedata.myself,Cemal Cemil,8000,air mineral
123,2026-02-02 13:18:05,Pengeluaran,"Ojol, Parkir",UANG CASH,,basedata.myself,"Ojol, Parkir",5000,
124,2026-02-02 13:18:05,Pengeluaran,Food,UANG CASH,,basedata.myself,Food,40000,bebek sinjay
125,2026-02-02 16:00:00,Pemasukan,Mingguan Ortu,BRI,,basedata.myself,Mingguan Ortu,200000,
126,2026-02-02 16:00:00,Transfer,UANG CASH,BRI,UANG CASH,,,100000,
127,2026-02-02 16:00:00,Pengeluaran,Nongkrongs,UANG CASH,,basedata.myself,Nongkrongs ,20000,kopi kenangan
128,2026-02-02 16:00:00,Pengeluaran,House needs,UANG CASH,,basedata.myself,House needs ,27000,tissue
129,2026-02-04 11:28:18,Pengeluaran,Nongkrongs,UANG CASH,,basedata.myself,Nongkrongs ,15000,rehat kopi
130,2026-02-04 13:48:23,Pengeluaran,basedata.pet,UANG CASH,,basedata.myself,basedata.pet,16000,pasir
131,2026-02-04 13:48:23,Pengeluaran,Cemal Cemil,UANG CASH,,basedata.myself,Cemal Cemil,20000,pentol pemko
132,2026-02-04 13:48:45,Pengeluaran,House needs,UANG CASH,,basedata.myself,House needs ,2000,isi ulang galon
133,2026-02-05 11:37:48,Transfer,UANG CASH,BRI,UANG CASH,,,200000,
134,2026-02-05 11:37:48,Pengeluaran,TRINITY SCENT,BRI,,basedata.myself,TRINITY SCENT,50000,modal
135,2026-02-05 11:39:00,Pemasukan,Mingguan Ortu,BRI,,basedata.myself,Mingguan Ortu,100000,
136,2026-02-05 11:39:00,Pengeluaran,Nongkrongs,UANG CASH,,basedata.myself,Nongkrongs ,30000,tengah hari coffee
137,2026-02-05 11:39:00,Pengeluaran,"Ojol, Parkir",UANG CASH,,basedata.myself,"Ojol, Parkir",1000,
138,2026-02-05 13:44:57,Pengeluaran,Food,UANG CASH,,basedata.myself,Food,75000,mcdonalds
139,2026-02-05 13:44:57,Transfer,BRI,UANG CASH,BRI,,,100000,
143,2026-02-05 16:00:00,Pengeluaran,"Ojol, Parkir",UANG CASH,,basedata.myself,"Ojol, Parkir",3000,
144,2026-02-05 16:00:00,Pengeluaran,Cemal Cemil,UANG CASH,,basedata.myself,Cemal Cemil,8000,es teh jumbo
145,2026-02-05 16:00:00,Pengeluaran,Food,UANG CASH,,basedata.myself,Food,13000,nasi goreng cah solo
140,2026-02-06 10:03:25,Pengeluaran,Food,BRI,,basedata.myself,Food,24000,ayam geprek solo
141,2026-02-06 10:03:25,Pengeluaran,TRINITY SCENT,BRI,,basedata.myself,TRINITY SCENT,26000,modal
142,2026-02-06 10:04:07,Transfer,UANG CASH,BRI,UANG CASH,,,100000,
146,2026-02-06 16:00:00,Pengeluaran,Cemal Cemil,UANG CASH,,basedata.myself,Cemal Cemil,6000,pentol
147,2026-02-06 16:00:00,Pengeluaran,Food,UANG CASH,,basedata.myself,Food,6000,angkringan pak lik
148,2026-02-06 16:00:00,Pengeluaran,Food,BRI,,basedata.myself,Food,50000,angkringan pak lik
149,2026-02-06 16:00:00,Pengeluaran,"Ojol, Parkir",UANG CASH,,basedata.myself,"Ojol, Parkir",3000,
180,2026-02-06 16:00:00,Pengeluaran,"Ojol, Parkir",UANG CASH,,basedata.myself,"Ojol, Parkir",2000,
150,2026-02-07 16:00:00,Pengeluaran,Cemal Cemil,UANG CASH,,basedata.myself,Cemal Cemil,22000,pentol pemko
151,2026-02-09 12:45:35,Transfer,UANG CASH,BRI,UANG CASH,,,150000,
152,2026-02-09 12:45:35,Pemasukan,Mingguan Ortu,BRI,,basedata.myself,Mingguan Ortu,600000,
153,2026-02-09 12:45:35,Pengeluaran,basedata.pet,UANG CASH,,basedata.myself,basedata.pet,80000,"pasir, dry food, vitamin"
154,2026-02-09 12:45:35,Pengeluaran,Nongkrongs,UANG CASH,,basedata.myself,Nongkrongs ,37000,kopi kenangan
155,2026-02-09 12:46:22,Pengeluaran,Cemal Cemil,UANG CASH,,basedata.myself,Cemal Cemil,7000,pukis
156,2026-02-09 12:46:22,Pengeluaran,"Ojol, Parkir",UANG CASH,,basedata.myself,"Ojol, Parkir",3000,
157,2026-02-10 11:29:35,Pengeluaran,TRINITY SCENT,BRI,,basedata.myself,TRINITY SCENT,100000,x banner
158,2026-02-10 14:56:52,Transfer,UANG CASH,BRI,UANG CASH,,,100000,
159,2026-02-10 14:57:08,Pengeluaran,Bensin,UANG CASH,,basedata.myself,Bensin,50000,
